#Position (bp)	insert size	chromosomes
1.5372765445E9	230.94117647058823	2481737.5833333335
1.5411538005E9	213.0	0.0
1.5470251445E9	107.44279877425944	0.0
1.5547796565E9	0.0	2481737.5833333335
1.5625341685E9	241.37431010693342	0.0
1.5702886805E9	241.5753923766816	0.0
1.5780431925E9	223.5625	2481737.5833333335
1.5857977045E9	0.0	0.0
1.5935522165E9	0.0	0.0
1.6013067285E9	0.0	2481737.5833333335
1.6090612405E9	221.28571428571428	0.0
1.6168157525E9	132.65936883629192	0.0
1.6245702645E9	86.0	2481737.5833333335
1.6323247765E9	169.2	0.0
1.6400792885E9	138.74567901234568	0.0
1.6478338005E9	0.0	2481737.5833333335
1.6555883125E9	362.6666666666667	0.0
1.6633428245E9	142.0	0.0
1.6710973365E9	430.03459826160696	2481737.5833333335
1.677673868E9	148.76082631086143	0.0
1.681551124E9	186.0	0.0
1.6866063605E9	170.55555555555554	2481737.5833333335
1.6943608725E9	32.92857142857143	0.0
1.7021153845E9	0.0	0.0
1.7098698965E9	177.0	2481737.5833333335
1.7176244085E9	196.0	0.0
1.7253789205E9	219.2209678367731	0.0
1.7331334325E9	130.0	2481737.5833333335
1.7408879445E9	232.0	0.0
1.7486424565E9	134.05882352941177	0.0
1.7563969685E9	152.067055393586	2481737.5833333335
1.7641514805E9	160.12758620689655	0.0
1.7719059925E9	165.85237453421072	0.0
1.7796605045E9	161.86607142857142	2481737.5833333335
1.7874150165E9	141.35782747603835	0.0
1.7951695285E9	220.10504201680672	0.0
1.8029240405E9	135.7082963799081	2481737.5833333335
1.8106785525E9	177.6	0.0
1.8152318495E9	172.76470588235293	0.0
1.8191091055E9	155.84538724373576	2481737.5833333335
1.8261875765E9	184.29467084639498	0.0
1.8339420885E9	153.5235602094241	0.0
1.8416966005E9	0.0	2481737.5833333335
1.8494511125E9	139.02970297029702	0.0
1.8572056245E9	202.0	0.0
1.8649601365E9	271.8333333333333	2481737.5833333335
1.8727146485E9	206.0	0.0
1.8804691605E9	210.95652173913044
1.8882236725E9	199.47826086956522
1.8959781845E9	219.93333333333334
1.9037326965E9	287.0
1.9114872085E9	178.55555555555554
1.9192417205E9	115.125
1.9269962325E9	160.44624332410592
1.9347507445E9	212.3
1.9425052565E9	378.6585365853659
1.9486484595E9	332.0
1.9525257155E9	159.76987447698744
1.9580142805E9	142.424
1.9657687925E9	0.0
